id,match,name,score,type,type_id,input_value
Q357519,True,adipocyte,100.0,cell type,Q189118,Adipocytes
Q101062531,True,Adipocyte progenitor cell,100.0,cell type,Q189118,Adipocyte progenitor cells
Q101062534,True,Osteoclast precursor cell,100.0,cell type,Q189118,Osteoclast precursor cells
Q3269473,True,Naive B cell,96.0,cell type,Q189118,B cells naive
Q376266,True,cytotoxic T cell,97.0,cell type,Q189118,T cytotoxic cells
Q500446,True,pericytes,100.0,cell type,Q189118,Pericytes
Q5311600,True,Ductal cells,100.0,cell type,Q189118,Ductal cells
Q5104283,True,Cholangiocyte,100.0,cell type,Q189118,Cholangiocytes
Q15176415,True,epithelial cell,100.0,cell type,Q189118,Epithelial cells
Q101003165,True,Multinuclear myocyte,98.0,cell type,Q189118,Multinuclear myocytes
Q101062540,True,Mononuclear myocyte,100.0,cell type,Q189118,Mononuclear myocytes
Q101062544,True,Vascular smooth muscle cell,100.0,cell type,Q189118,Vascular smooth muscle cells
Q101062548,True,Airway smooth muscle cell,100.0,cell type,Q189118,Airway smooth muscle cells
Q101062553,True,Pulmonary vascular smooth muscle cell,100.0,cell type,Q189118,Pulmonary vascular smooth muscle cells
Q101062559,True,Purkinje fiber cell,100.0,cell type,Q189118,Purkinje fiber cells
Q101003168,True,His bundle cell,97.0,cell type,Q189118,His bundle cells
Q101062563,True,Bone marrow stromal cell,100.0,cell type,Q189118,Bone marrow stromal cells
Q813622,True,goblet cell,96.0,cell type,Q189118,Goblet cells
Q101062568,True,Hepatoblast,100.0,cell type,Q189118,Hepatoblasts
Q1500732,True,interneuron,100.0,cell type,Q189118,Interneurons
Q1623344,True,Langerhans cell,100.0,cell type,Q189118,Langerhans cells
Q1570264,True,Merkel cell,100.0,cell type,Q189118,Merkel cells
Q1467330,True,myofibroblast,100.0,cell type,Q189118,Myofibroblasts
Q74560,True,spermatozoon,100.0,cell type,Q189118,Spermatozoa
Q101062572,True,Mammary epithelial cell,100.0,cell type,Q189118,Mammary epithelial cells
Q101003191,True,spermatocyte and spermatozoa,100.0,cell type,Q189118,Spermatocyte and Spermatozoa
Q3486515,True,spermatocyte,100.0,cell type,Q189118,Spermatocytes
Q223143,True,granulocyte,100.0,cell type,Q189118,Granulocytes
Q101062576,True,Endothelial cells (brain),100.0,cell type,Q189118,Endothelial cells (brain)
Q66572893,True,retinal pigment epithelial cell,100.0,cell type,Q189118,Retinal epithelial cells
Q101062580,True,Retinal progenitor cell,100.0,cell type,Q189118,Retinal progenitor cells
Q748049,True,photoreceptor cell,100.0,cell type,Q189118,Photoreceptor cells
Q101062584,True,Peri-islet Schwann cell,100.0,cell type,Q189118,Peri-islet Schwann cells
Q101003254,True,Anterior pituitary gland cell,98.0,cell type,Q189118,Anterior pituitary gland cells
Q101062590,True,Trigeminal neuron,100.0,cell type,Q189118,Trigeminal neurons
Q101003314,True,theca cell,100.0,cell type,Q189118,Theca cells
Q101062592,True,Endothelial cell (lungs),100.0,cell type,Q189118,Endothelial cells (lungs)
Q101062595,True,Fibroblast (lungs),100.0,cell type,Q189118,Fibroblasts (lungs)
Q448687,True,alveolar macrophage,100.0,cell type,Q189118,Alveolar macrophages
Q101062600,True,Airway goblet cell,100.0,cell type,Q189118,Airway goblet cells
Q101062602,True,Fibroblast (pancreas),100.0,cell type,Q189118,Fibroblasts (pancreas)
Q70219504,True,acinar cells,100.0,cell type,Q189118,Acinar cells
Q101062605,True,Endothelial cell (mammary),100.0,cell type,Q189118,Endothelial cells (mammary)
Q101062608,True,Immature neuronal cell,100.0,cell type,Q189118,Immature neuronal cells
Q101062611,True,Fibroblast (Uterus),100.0,cell type,Q189118,Fibroblasts (Uterus)
Q101062615,True,Endothelial cell (heart),100.0,cell type,Q189118,Endothelial cells (heart)
Q101062619,True,Luminal epithelial cell,100.0,cell type,Q189118,Luminal epithelial cells
Q101062623,True,Endothelial cell (aorta),100.0,cell type,Q189118,Endothelial cells (aorta)
Q101062626,True,Enteric neuron,100.0,cell type,Q189118,Enteric neurons
Q2595765,True,gastric chief cell,100.0,cell type,Q189118,Gastric chief cells
Q101003525,True,Epiblast cell,100.0,cell type,Q189118,Epiblast cells
Q101062629,True,Red pulp macrophage,100.0,cell type,Q189118,Red pulp macrophages
Q101062633,True,Fibroblast (spinal cord),100.0,cell type,Q189118,Fibroblasts (spinal cord)
Q101062635,True,Fibroblast (brain),100.0,cell type,Q189118,Fibroblasts (brain)
Q101062641,True,Fibroblast (bone),100.0,cell type,Q189118,Fibroblasts (bone)
Q101062644,True,Fibroblast (kidney),100.0,cell type,Q189118,Fibroblasts (kidney)
Q101062650,True,Small luteal cell,100.0,cell type,Q189118,Small luteal cells
Q101062654,True,Fibroblast (lymph nodes),100.0,cell type,Q189118,Fibroblasts (lymph nodes)
Q101062656,True,Fibroblast (colon),100.0,cell type,Q189118,Fibroblasts (colon)
Q66563539,True,olfactory epithelial cell,98.0,cell type,Q189118,Olfactory epithelial cells
Q48997538,True,Peritubular myoid cell,98.0,cell type,Q189118,Peritubular myoid cells
Q101062659,True,Salivary mucous cell,100.0,cell type,Q189118,Salivary mucous cells
Q5249153,True,Decidual cells,100.0,cell type,Q189118,Decidual cells
Q101062667,True,Ionocyte,100.0,cell type,Q189118,Ionocytes
Q101062671,True,Ciliated cell,100.0,cell type,Q189118,Ciliated cells
Q15220362,True,myeloid-derived suppressor cells,100.0,cell type,Q189118,Myeloid-derived suppressor cells
Q101062673,True,Enteric glia cell,100.0,cell type,Q189118,Enteric glia cells
Q1164962,True,pancreatic stellate cells,100.0,cell type,Q189118,Pancreatic stellate cells
Q66590166,True,erythroblasts,100.0,cell type,Q189118,Erythroblasts
