cell_type,cell_typeLabel
http://www.wikidata.org/entity/Q71311856,TWIST2-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311857,RBM20-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311864,RPRM-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311867,BARX2-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311871,TNNT2-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71311873,ITGA11-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71312204,CUX2|NTNG-expressing human cerebral cortex MTG Glutamatergic neuron
http://www.wikidata.org/entity/Q71313344,GAD1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71313347,FGFR3-expressing human MTG astrocyte
http://www.wikidata.org/entity/Q71313762,SLC1A3-expressing human MTG astrocyte
http://www.wikidata.org/entity/Q71313766,MT1F-expressing human MTG astrocyte
http://www.wikidata.org/entity/Q71313767,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71313771,CXCL14-expressing human MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314033,NPY-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314036,COL15A1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314038,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314043,VIP-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314045,SST-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314048,PVALB-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314919,TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314923,SP8-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314925,NDNF-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314927,KIT-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314930,CPLX3-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314934,EYA4-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314938,ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314941,ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314943,BAGE2-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314945,CNR1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314947,DCN-expressing human cerebral cortex MTG GABAergic interneuron
