cell_type;gene
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14885645
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14878795
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14874349
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14873931
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14865565
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14865286
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14864844
http://www.wikidata.org/entity/Q101404940;http://www.wikidata.org/entity/Q14864492
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q5446452
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q5145899
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q5145886
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q20969938
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18046370
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18042907
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18037857
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18032359
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18030425
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18030422
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18029196
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18029185
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18028707
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18028466
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18028029
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18027481
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18027461
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q18025315
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q17859961
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q15327913
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14914098
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14912946
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14912142
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14912099
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14911850
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14908072
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14907568
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14907436
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14903759
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14903397
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14901827
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14891079
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14878833
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14866230
http://www.wikidata.org/entity/Q101404941;http://www.wikidata.org/entity/Q14864844
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18061876
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18060760
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18059861
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18058448
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18056626
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18056143
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18055748
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18054338
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18054075
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18053881
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18053780
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18053362
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18053229
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18052479
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18052370
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18052302
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18051956
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18051344
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18051225
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18050104
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18049865
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18049481
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18048570
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18048092
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18047560
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18047477
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18047228
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18047225
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18042047
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18040246
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18037568
