Unnamed: 0,Len,Aen,Den,Dpt,P361,P703,P31
50,human gastric chief cell,human gastric chief cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2595765,Q15978631,Q18911
51,human oligodendrocyte progenitor cell,human oligodendrocyte progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q7086819,Q15978631,Q18911
52,human glutaminergic neuron,human glutaminergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062495,Q15978631,Q18911
53,human bergmann glia,human bergmann glia,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062516,Q15978631,Q18911
54,human granulosa cell,human granulosa cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q70203021,Q15978631,Q18911
55,human epsilon cell,human epsilon cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q4532277,Q15978631,Q18911
56,human mast cell,human mast cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q191989,Q15978631,Q18911
57,human myoepithelial cell,human myoepithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1476681,Q15978631,Q18911
58,human oxyphil cell,human oxyphil cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q7116107,Q15978631,Q18911
59,human endothelial cell (aorta),human endothelial cells (aorta),cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062623,Q15978631,Q18911
60,human salivary mucous cell,human salivary mucous cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062659,Q15978631,Q18911
61,human trophoblast cell,human trophoblast cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66589800,Q15978631,Q18911
62,human osteoclast,human osteoclasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q828410,Q15978631,Q18911
63,human pyramidal cell,human pyramidal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2116409,Q15978631,Q18911
64,human germ cell,human germ cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q281579,Q15978631,Q18911
65,human merkel cell,human merkel cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1570264,Q15978631,Q18911
66,human noradrenergic neuron,human noradrenergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062687,Q15978631,Q18911
67,human microfold cell,human microfold cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1815955,Q15978631,Q18911
68,human enteroendocrine cell,human enteroendocrine cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5380231,Q15978631,Q18911
69,human red pulp macrophages,human red pulp macrophages,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062629,Q15978631,Q18911
70,human vascular smooth muscle cell,human vascular smooth muscle cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062544,Q15978631,Q18911
71,human gabaergic neuron,human gabaergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66591221,Q15978631,Q18911
72,human myoblast,human myoblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1956694,Q15978631,Q18911
73,human stromal cell,human stromal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q4381253,Q15978631,Q18911
74,human adipocyte progenitor cell,human adipocyte progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062531,Q15978631,Q18911
75,human myeloid-derived suppressor cell,human myeloid-derived suppressor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q15220362,Q15978631,Q18911
76,human hemangioblast,human hemangioblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1642030,Q15978631,Q18911
77,human hepatic stellate cell,human hepatic stellate cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1997459,Q15978631,Q18911
78,human ionocyte,human ionocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062667,Q15978631,Q18911
79,human epithelial cell,human epithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q15176415,Q15978631,Q18911
80,human myofibroblast,human myofibroblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1467330,Q15978631,Q18911
81,human pulmonary alveolar type ii cell,human pulmonary alveolar type ii cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3272858,Q15978631,Q18911
82,human satellite glial cell,human satellite glial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q63710,Q15978631,Q18911
