item,itemLabel,cellontology
http://www.wikidata.org/entity/Q66486500,female gametocyte of Plasmodium falciparum,
http://www.wikidata.org/entity/Q66481302,Male gametocyte of Plasmodium falciparum,
http://www.wikidata.org/entity/Q66429544,Plasmodium falciparum merozoite,
http://www.wikidata.org/entity/Q66429534,Plasmodium falciparum sporozoite,
http://www.wikidata.org/entity/Q66429531,liver schizont of Plasmodium falciparum,
http://www.wikidata.org/entity/Q66254094,Plasmodium falciparum oocyst,
http://www.wikidata.org/entity/Q66253483,Plasmodium falciparum ookinete,
http://www.wikidata.org/entity/Q65700185,Q65700185,
http://www.wikidata.org/entity/Q65700012,human hepatocyte,
http://www.wikidata.org/entity/Q65699710,human  red blood cell,
http://www.wikidata.org/entity/Q64358878,pyknocyte,
http://www.wikidata.org/entity/Q56479046,Thymic epithelial cell,
http://www.wikidata.org/entity/Q56427015,rosehip neuron,
http://www.wikidata.org/entity/Q56151568,Tissue-resident memory T cell,
http://www.wikidata.org/entity/Q47088882,anucleated cell,
http://www.wikidata.org/entity/Q47088881,nucleated cell,
http://www.wikidata.org/entity/Q47088850,mononucleate cell,
http://www.wikidata.org/entity/Q29721040,ampullary hair cell,
http://www.wikidata.org/entity/Q29654328,vestibular hair cell,
http://www.wikidata.org/entity/Q29642077,outer auditory hair cell,
http://www.wikidata.org/entity/Q29642076,inner auditory hair cell,
http://www.wikidata.org/entity/Q29642065,auditory hair cell,
http://www.wikidata.org/entity/Q28646122,ependymal cell,
http://www.wikidata.org/entity/Q28599815,precursor cell,
http://www.wikidata.org/entity/Q28194770,Human umbilical artery endothelial cells,
http://www.wikidata.org/entity/Q28000183,Medlar bodies,
http://www.wikidata.org/entity/Q23748776,human placental trophoblast,
http://www.wikidata.org/entity/Q18712057,cytokine-induced killer cell,
http://www.wikidata.org/entity/Q18393925,regulatory B cell,
http://www.wikidata.org/entity/Q17100626,intraepithelial lymphocyte,
http://www.wikidata.org/entity/Q17098498,Sentinel cell,
http://www.wikidata.org/entity/Q15176415,epithelial cell,
http://www.wikidata.org/entity/Q13652744,neuroepithelial cell,
http://www.wikidata.org/entity/Q13360240,Lymph node stromal cell,
http://www.wikidata.org/entity/Q12386885,nevus cell,
http://www.wikidata.org/entity/Q12058064,Q12058064,
http://www.wikidata.org/entity/Q12045365,pit cell,
http://www.wikidata.org/entity/Q11951724,Th22,
http://www.wikidata.org/entity/Q11916399,Q11916399,
http://www.wikidata.org/entity/Q11916397,retinal cell,
http://www.wikidata.org/entity/Q11706252,collecting duct cell,
http://www.wikidata.org/entity/Q6058422,intraglomerular mesangial cell,
http://www.wikidata.org/entity/Q5939177,Human umbilical vein endothelial cell,
http://www.wikidata.org/entity/Q5796041,multinucleate cell,
http://www.wikidata.org/entity/Q5252593,Deiters cells,
http://www.wikidata.org/entity/Q5192290,cuboidal epithelial cell,
http://www.wikidata.org/entity/Q5150210,columnar epithelial cell,
http://www.wikidata.org/entity/Q4923862,multipolar neuron,
http://www.wikidata.org/entity/Q4914552,binucleate cell,
http://www.wikidata.org/entity/Q4387286,radial glial cell,
http://www.wikidata.org/entity/Q4259786,lymphokine-activated killer cell,
http://www.wikidata.org/entity/Q4118072,cancer cell,
http://www.wikidata.org/entity/Q3331086,mesangial cell,
http://www.wikidata.org/entity/Q3142126,sensory neuron,
http://www.wikidata.org/entity/Q2631550,follicular dendritic cells,
http://www.wikidata.org/entity/Q2619679,Akinete,
http://www.wikidata.org/entity/Q2596226,juxtaglomerular cell,
http://www.wikidata.org/entity/Q2596185,interstitial cells of Cajal,
http://www.wikidata.org/entity/Q2469311,extraglomerular mesangial cell,
http://www.wikidata.org/entity/Q2362537,squamous epithelial cell,
http://www.wikidata.org/entity/Q2308645,Q2308645,
http://www.wikidata.org/entity/Q2304808,memory T cell,
http://www.wikidata.org/entity/Q2303730,Place cell,
http://www.wikidata.org/entity/Q2116409,pyramidal cell,
http://www.wikidata.org/entity/Q2024775,Oogonium,
http://www.wikidata.org/entity/Q1956694,myoblast,
http://www.wikidata.org/entity/Q1939737,olfactory bulb mitral cell,
http://www.wikidata.org/entity/Q1922379,mesenchymal stem cells,
http://www.wikidata.org/entity/Q1815955,microfold cell,
http://www.wikidata.org/entity/Q1777753,granule cell,
http://www.wikidata.org/entity/Q1775422,agranulocytes,
http://www.wikidata.org/entity/Q1721218,Q1721218,
http://www.wikidata.org/entity/Q1680099,unipolar neuron,
http://www.wikidata.org/entity/Q1643769,Hoehl's cells,
http://www.wikidata.org/entity/Q1642030,Hemangioblast,
http://www.wikidata.org/entity/Q1628177,retina horizontal cell,
http://www.wikidata.org/entity/Q1623344,Langerhans cell,
http://www.wikidata.org/entity/Q1622829,microglia,
http://www.wikidata.org/entity/Q1566641,hair cell,
http://www.wikidata.org/entity/Q1500732,interneuron,
http://www.wikidata.org/entity/Q1478565,Q1478565,
http://www.wikidata.org/entity/Q1476681,Myoepithelial cell,
http://www.wikidata.org/entity/Q1473931,keratinocyte,
http://www.wikidata.org/entity/Q1467330,myofibroblast,
http://www.wikidata.org/entity/Q1431457,Idioblast,
http://www.wikidata.org/entity/Q1404923,reticulocyte,
http://www.wikidata.org/entity/Q1384119,Langhans giant cell,
http://www.wikidata.org/entity/Q1274681,killer cell,
http://www.wikidata.org/entity/Q1195394,memory B cell,
http://www.wikidata.org/entity/Q1047791,antigen-presenting cell,
http://www.wikidata.org/entity/Q1047227,cardiomyocyte,
http://www.wikidata.org/entity/Q917177,osteoblast,
http://www.wikidata.org/entity/Q916698,oligodendrocyte,
http://www.wikidata.org/entity/Q828410,osteoclast,
http://www.wikidata.org/entity/Q827450,hepatocyte,
http://www.wikidata.org/entity/Q735343,Müller glia,
http://www.wikidata.org/entity/Q725508,somatic cell,
http://www.wikidata.org/entity/Q715347,lymphocyte,
http://www.wikidata.org/entity/Q690588,bipolar neuron,
http://www.wikidata.org/entity/Q674925,induced pluripotent stem cell,
http://www.wikidata.org/entity/Q636846,Leydig cell,
http://www.wikidata.org/entity/Q515386,haploid cell,
http://www.wikidata.org/entity/Q506253,dendritic cell,
http://www.wikidata.org/entity/Q505544,rod cell,
http://www.wikidata.org/entity/Q502961,astrocyte,
http://www.wikidata.org/entity/Q467277,pseudounipolar neuron,
http://www.wikidata.org/entity/Q463418,fibroblast,
http://www.wikidata.org/entity/Q428914,myocyte,
http://www.wikidata.org/entity/Q376266,cytotoxic T cell,
http://www.wikidata.org/entity/Q332181,natural killer cell,
http://www.wikidata.org/entity/Q301613,Basket cell,
http://www.wikidata.org/entity/Q281579,germ cell,
http://www.wikidata.org/entity/Q223143,granulocyte,
http://www.wikidata.org/entity/Q211709,blood cell,
http://www.wikidata.org/entity/Q193529,T-lymphocytes,
http://www.wikidata.org/entity/Q191989,mast cells,
http://www.wikidata.org/entity/Q188930,B-cells,
http://www.wikidata.org/entity/Q188417,neutrophil,
http://www.wikidata.org/entity/Q177105,glia,
http://www.wikidata.org/entity/Q138912,podocyte,
http://www.wikidata.org/entity/Q107988,basophils,
http://www.wikidata.org/entity/Q107244,Monocyte,
http://www.wikidata.org/entity/Q107238,eosinophils,
http://www.wikidata.org/entity/Q48196,stem cell,
http://www.wikidata.org/entity/Q7868,cell,
http://www.wikidata.org/entity/Q97071316,Deiter's cell,
http://www.wikidata.org/entity/Q97011419,sympathogonia,
http://www.wikidata.org/entity/Q88402859,autonomic neuron,
