item,itemLabel,statements,ensg_wdt,entrez
Q14890978,HFE,56,ENSG00000010704,3077
Q14891079,ICAM1,30,ENSG00000090339,3383
Q14891424,HTR2A,37,ENSG00000102468,3356
Q14891586,TRPV6,44,ENSG00000165125,55503
Q14891586,TRPV6,44,ENSG00000276971,55503
Q14891716,APCS,26,ENSG00000132703,325
Q14891871,BACE1,42,ENSG00000186318,23621
Q14897634,TNFRSF11A,41,ENSG00000141655,8792
Q14897641,SNAP25,46,ENSG00000132639,6616
Q14897645,OPRK1,34,ENSG00000082556,4986
Q14897652,ROR2,41,ENSG00000169071,4920
Q14897674,PLIN1,30,ENSG00000166819,5346
Q14897677,LALBA,27,ENSG00000167531,3906
Q14897694,NTRK1,37,ENSG00000198400,4914
Q14897782,NTRK2,61,ENSG00000148053,4915
Q14897851,CD40LG,26,ENSG00000102245,959
Q14897864,VLDLR,37,ENSG00000147852,7436
Q14897872,NGFR,28,ENSG00000064300,4804
Q14897880,NTRK3,83,ENSG00000140538,4916
Q14897890,AGRN,41,ENSG00000188157,375790
Q14897899,FGF23,28,ENSG00000118972,8074
Q14901445,UGT1A1,42,ENSG00000241635,54658
Q14901457,IGF1R,57,ENSG00000140443,3480
Q14901468,HSD11B2,27,ENSG00000176387,3291
Q14901483,DNASE1,58,ENSG00000213918,1773
Q14901649,CFL1,39,ENSG00000172757,1072
Q14901671,SELL,32,ENSG00000188404,6402
Q14901714,CAV3,31,ENSG00000182533,859
Q14901827,VCAM1,33,ENSG00000162692,7412
Q14901964,CASP1,57,ENSG00000137752,834
Q17833789,ATP5F1B,41,ENSG00000110955,506
Q17833821,ATP5F1BP1,9,,507
Q17833823,ATP5F1C,43,ENSG00000165629,509
Q17833873,ATP5F1D,39,ENSG00000099624,513
Q17833929,ATP5F1E,26,ENSG00000124172,514
Q17833958,ATP5PB,32,ENSG00000116459,515
Q17834001,ATP5MC1,34,ENSG00000159199,516
Q17834057,ATP5MC2,39,ENSG00000135390,517
Q17834113,ATP5MC3,32,ENSG00000154518,518
Q17834179,ATP5MC2P1,9,,520
Q17834200,ATP5ME,28,ENSG00000169020,521
Q17834261,ATP5PF,37,ENSG00000154723,522
Q17834356,ATP6V1A,35,ENSG00000114573,523
Q17834428,ATP6V1B1,33,ENSG00000116039,525
Q17834526,ATP6V1B2,35,ENSG00000147416,526
Q17834609,ATP6V0C,37,ENSG00000185883,527
Q17834668,ATP6V1C1,34,ENSG00000155097,528
Q17834752,ATP6V1E1,40,ENSG00000131100,529
Q17834860,ATP6V0B,41,ENSG00000117410,533
Q17834996,ATP6V1G2,60,ENSG00000206445,534
Q17834996,ATP6V1G2,60,ENSG00000213760,534
Q17834996,ATP6V1G2,60,ENSG00000226850,534
Q17834996,ATP6V1G2,60,ENSG00000227587,534
Q17834996,ATP6V1G2,60,ENSG00000230900,534
Q17834996,ATP6V1G2,60,ENSG00000234668,534
Q17834996,ATP6V1G2,60,ENSG00000234920,534
Q17835285,ATP6AP1,36,ENSG00000071553,537
Q17835390,ATP5PO,38,ENSG00000241837,539
Q17835501,ALDH7A1P1,9,,541
Q17835532,ALDH7A1P2,9,,542
Q17835563,ALDH7A1P3,9,,543
Q17835591,ALDH7A1P4,9,,544
Q17835753,ATRX,72,ENSG00000085224,546
Q17835924,KIF1A,66,ENSG00000130294,547
Q17836543,AXL,34,ENSG00000167601,558
Q17836600,AZGP1,31,ENSG00000160862,563
Q17836766,B2MR,8,,568
Q17836807,BAAT,28,ENSG00000136881,570
Q17836807,BAAT,28,ENSG00000276559,570
Q17836876,BACH1,43,ENSG00000156273,571
Q17837016,BAG1,42,ENSG00000107262,573
Q17837154,BAGE,11,,574
Q17837678,BARD1,52,ENSG00000138376,580
Q17837870,BBS1,52,ENSG00000174483,582
Q17838063,BBS2,54,ENSG00000125124,583
Q17838228,BBS4,55,ENSG00000140463,585
Q17838444,BCAT1,42,ENSG00000060982,586
Q17838571,BCAT2,41,ENSG00000105552,587
Q17846479,BCKDHA,37,ENSG00000248098,593
Q17846579,BCKDHB,47,ENSG00000083123,594
Q17847202,BCL2L2,33,ENSG00000129473,599
Q17847267,BAK1P1,9,,600
Q17847288,BAK1P2,9,,601
Q17847309,BCL3,39,ENSG00000069399,602
Q17847386,BCL5,8,,603
Q17847411,BCL6,43,ENSG00000113916,604
Q17847519,BCL7A,30,ENSG00000110987,605
Q17847519,BCL7A,30,ENSG00000282873,605
Q17847569,NBEAP1,11,,606
Q17847588,BCL9,33,ENSG00000116128,607
Q17847640,TNFRSF17,27,ENSG00000048462,608
Q17847659,HCN2,26,ENSG00000099822,610
Q17847675,OPN1SW,24,ENSG00000128617,611
Q17847742,BCRP4,9,,616
Q17847759,BCS1L,65,ENSG00000074582,617
Q17847898,BCYRN1,19,ENSG00000236824,618
Q17847929,BCYRN1P1,9,,619
Q17847948,BCYRN1P2,9,,620
Q17847967,BDH1,73,ENSG00000161267,622
Q17847967,BDH1,73,ENSG00000275544,622
Q17848118,BFSP1,34,ENSG00000125864,631
Q17848256,CEACAM1,48,ENSG00000079385,634
Q17848358,BHMT,28,ENSG00000145692,635
Q17848412,BICD1,50,ENSG00000151746,636
Q17848647,BIK,24,ENSG00000100290,638
Q17848682,PRDM1,41,ENSG00000057657,639
Q17848770,BLK,43,ENSG00000136573,640
Q17848770,BLK,43,ENSG00000285369,640
Q17848876,BLM,42,ENSG00000197299,641
Q17849112,BLVRA,31,ENSG00000106605,644
Q17849187,BLVRB,29,ENSG00000090013,645
Q17849249,BNC1,26,ENSG00000169594,646
Q17849328,BMI1,35,ENSG00000168283,648
Q17849752,BMPR2,31,ENSG00000204217,659
Q17849815,BMX,31,ENSG00000102010,660
Q17849895,POLR3D,29,ENSG00000168495,661
Q17849956,BNIP1,35,ENSG00000113734,662
Q17850045,BNIP2,39,ENSG00000140299,663
Q17850131,BNIP3,29,ENSG00000176171,664
Q17850164,BNIP3L,31,ENSG00000104765,665
Q17850251,BOK,31,ENSG00000176720,666
Q17850714,BPGM,29,ENSG00000172331,669
Q17852937,BPHL,44,ENSG00000137274,670
Q17853226,BRAF,66,ENSG00000157764,673
Q17853272,BRCA2,41,ENSG00000139618,675
Q17853316,BRDT,60,ENSG00000137948,676
Q17853452,ZFP36L1,34,ENSG00000185650,677
Q17853510,ZFP36L2,24,ENSG00000152518,678
Q17853626,BST1,37,ENSG00000109743,683
Q17853672,BST2,25,ENSG00000130303,684
Q14907505,CD80,27,ENSG00000121594,941
Q14907527,CD86,39,ENSG00000114013,942
Q14907547,CCL3,35,ENSG00000274221,6348
Q14907547,CCL3,35,ENSG00000277632,6348
Q14907547,CCL3,35,ENSG00000278567,6348
Q14907551,CCL4,33,ENSG00000275302,6351
Q14907551,CCL4,33,ENSG00000275824,6351
Q14907551,CCL4,33,ENSG00000277943,6351
Q14907561,DBH,29,ENSG00000123454,1621
Q14907568,MADCAM1,32,ENSG00000099866,8174
Q14907577,LBP,26,ENSG00000129988,3929
Q14907597,IL6ST,46,ENSG00000134352,3572
Q14907607,TNFRSF4,33,ENSG00000186827,7293
Q14907631,GHR,50,ENSG00000112964,2690
Q14907639,CCL7,26,ENSG00000108688,6354
Q14907645,PALLD,65,ENSG00000129116,23022
Q14907647,CCL8,21,ENSG00000108700,6355
Q14907650,CCL11,24,ENSG00000172156,6356
Q14907657,CCL20,29,ENSG00000115009,6364
Q14907664,MBL2,31,ENSG00000165471,4153
Q14907671,IBSP,24,ENSG00000029559,3381
Q14907685,SCN9A,49,ENSG00000169432,6335
Q14907689,BAK1,34,ENSG00000030110,578
Q14907705,BAD,31,ENSG00000002330,572
Q14907714,CASP9,43,ENSG00000132906,842
Q14907732,RAD51,51,ENSG00000051180,5888
Q14907739,UGT2B7,32,ENSG00000171234,7364
Q14907752,CCN2,25,ENSG00000118523,1490
Q14907765,CCL21,32,ENSG00000137077,6366
Q14907768,HLA-E,57,ENSG00000204592,3133
Q14907768,HLA-E,57,ENSG00000206493,3133
Q14907768,HLA-E,57,ENSG00000225201,3133
Q14907768,HLA-E,57,ENSG00000229252,3133
Q14907768,HLA-E,57,ENSG00000230254,3133
Q14907768,HLA-E,57,ENSG00000233904,3133
Q14907768,HLA-E,57,ENSG00000236632,3133
Q14907773,CCL22,23,ENSG00000102962,6367
Q14907776,CCL17,27,ENSG00000102970,6361
Q14907780,CX3CL1,30,ENSG00000006210,6376
Q14907795,CCL19,34,ENSG00000172724,6363
Q14907798,CXCL9,22,ENSG00000138755,4283
Q14907804,CXCL10,25,ENSG00000169245,3627
Q14907808,CXCL11,26,ENSG00000169248,6373
Q14907809,CXCL1,24,ENSG00000163739,2919
Q14907831,ACP5,45,ENSG00000102575,54
Q14907836,CXCL5,23,ENSG00000163735,6374
Q14907844,FXN,35,ENSG00000165060,2395
Q14907850,SIGMAR1,42,ENSG00000147955,10280
Q14907854,CYP11B1,30,ENSG00000160882,1584
Q14907873,CXCL13,24,ENSG00000156234,10563
Q14907881,ABCB5,33,ENSG00000004846,340273
Q14907885,CD2,27,ENSG00000116824,914
Q14907896,KRT8,47,ENSG00000170421,3856
Q14907905,KRT5,39,ENSG00000186081,3852
Q14907908,MKI67,30,ENSG00000148773,4288
Q14907911,MLNR,23,ENSG00000102539,2862
Q14907927,SERPINA5,38,ENSG00000188488,5104
Q14907930,AMELY,24,ENSG00000099721,266
Q14907931,CHGB,25,ENSG00000089199,1114
Q14907942,ADAM17,52,ENSG00000151694,6868
Q14907945,BPIFA1,28,ENSG00000198183,51297
Q14907948,CD19,32,ENSG00000177455,930
Q14907954,CDKL5,40,ENSG00000008086,6792
Q14907967,GRK2,45,ENSG00000173020,156
Q14907978,FKBP4,37,ENSG00000004478,2288
Q14907990,SLC30A8,42,ENSG00000164756,169026
Q14907998,DNMT1,58,ENSG00000130816,1786
Q14908019,SNX1,43,ENSG00000028528,6642
Q14908037,TGFA,38,ENSG00000163235,7039
Q14908050,TGFB2,35,ENSG00000092969,7042
Q14908060,BAMBI,25,ENSG00000095739,25805
Q14908063,SRL,32,ENSG00000185739,6345
Q14908072,CALB2,39,ENSG00000172137,794
Q14908072,CALB2,39,ENSG00000282830,794
Q14908075,CFC1B,27,ENSG00000152093,653275
Q14908076,CFC1,30,ENSG00000136698,55997
Q14908096,ERCC2,46,ENSG00000104884,2068
Q14908113,TSC1,86,ENSG00000165699,7248
Q14908120,ATR,55,ENSG00000175054,545
Q14908123,SOS1,38,ENSG00000115904,6654
Q14908134,NTF4,31,ENSG00000225950,4909
Q14908140,OXTR,20,,5021
Q14908143,CSF3R,49,ENSG00000119535,1441
Q14908148,EPB41,124,ENSG00000159023,2035
Q14908156,EPB42,38,ENSG00000166947,2038
Q14908164,TRPV1,39,ENSG00000196689,7442
Q14908178,DAXX,99,ENSG00000204209,1616
Q14908178,DAXX,99,ENSG00000206206,1616
Q14908178,DAXX,99,ENSG00000206279,1616
Q14908178,DAXX,99,ENSG00000227046,1616
Q14908178,DAXX,99,ENSG00000229396,1616
Q14908178,DAXX,99,ENSG00000231617,1616
Q14908182,MYL9,26,ENSG00000101335,10398
Q14908190,POU1F1,30,ENSG00000064835,5449
Q14908194,CD22,63,ENSG00000012124,933
Q14908197,KLRD1,55,ENSG00000134539,3824
Q14908202,GGCX,43,ENSG00000115486,2677
Q14908209,IKBKG,53,ENSG00000269335,8517
Q14908213,LCP2,37,ENSG00000043462,3937
Q14908222,ANXA1,146,ENSG00000135046,301
Q40108,RB1,37,ENSG00000139687,5925
Q407983,ACHE,60,ENSG00000087085,43
Q408331,VGF,30,ENSG00000128564,7425
Q408609,MUC1,80,ENSG00000185499,4582
Q408846,GDA,63,ENSG00000119125,9615
Q410688,FLG,24,ENSG00000143631,2312
Q419977,GIP,28,ENSG00000159224,2695
Q424232,ALB,50,ENSG00000163631,213
Q424737,SRC,42,ENSG00000197122,6714
Q425264,ASL,47,ENSG00000126522,435
Q425485,CPS1,46,ENSG00000021826,1373
Q425696,C9,28,ENSG00000113600,735
Q227339,BRCA1,82,ENSG00000012048,672
Q238509,HTR1A,31,ENSG00000178394,3350
Q248215,DYNC1I1,42,ENSG00000158560,1780
Q282418,TIRAP,34,ENSG00000150455,114609
Q286987,ABCA1,50,ENSG00000165029,19
Q289013,A2M,56,ENSG00000175899,2
Q369310,GTF2F1,30,ENSG00000125651,2962
Q372645,GTF2H4,67,ENSG00000213780,2968
Q372645,GTF2H4,67,ENSG00000221974,2968
Q372645,GTF2H4,67,ENSG00000226384,2968
Q372645,GTF2H4,67,ENSG00000233149,2968
Q372645,GTF2H4,67,ENSG00000234370,2968
Q372645,GTF2H4,67,ENSG00000236895,2968
Q390540,EDNRA,43,ENSG00000151617,1909
Q390543,EDNRB,41,ENSG00000136160,1910
Q414043,RELN,39,ENSG00000189056,5649
Q415594,AMH,26,ENSG00000104899,268
Q416426,CS,62,ENSG00000062485,1431
Q417169,PLAU,56,ENSG00000122861,5328
Q417743,PC,64,ENSG00000173599,5091
Q418553,NGB,27,ENSG00000165553,58157
Q418634,FH,36,ENSG00000091483,2271
Q5470358,FPR2,33,ENSG00000171049,2358
Q5470359,FPR3,24,ENSG00000187474,2359
Q5513945,GNB5,46,ENSG00000069966,10681
Q5514164,GPD1L,31,ENSG00000152642,23171
Q5514181,GPM6A,55,ENSG00000150625,2823
Q5514207,ADGRA2,30,ENSG00000020181,25960
Q5514306,GPRC5D,28,ENSG00000111291,55507
Q5514469,GCOM2,9,,339970
Q5572626,GLTP,32,ENSG00000139433,51228
Q5573601,GPC4,28,ENSG00000076716,2239
Q5573603,GPC5,44,ENSG00000179399,2262
Q5629705,H1-4,23,ENSG00000168298,3008
Q5251459,DEFB1,26,ENSG00000164825,1672
Q5251459,DEFB1,26,ENSG00000284881,1672
Q5260069,DGUOK,56,ENSG00000114956,1716
Q5262711,DPT,25,ENSG00000143196,1805
Q5264645,DSG2,33,ENSG00000046604,1829
Q5265310,DSTN,27,ENSG00000125868,11034
Q5276446,DPYS,42,ENSG00000147647,1807
Q5302993,DSCAML1,38,ENSG00000177103,57453
Q5323892,EPN2,52,ENSG00000072134,22905
Q5324472,ETM2,7,,2112
Q5324714,EXT3,7,,2133
Q5381411,EVPL,32,ENSG00000167880,2125
Q5382384,EFNA5,37,ENSG00000184349,1946
Q5398950,VEGFC,26,ENSG00000150630,7424
Q5401840,ESRRG,114,ENSG00000196482,2104
Q5401841,ESRRA,34,ENSG00000173153,2101
Q5401842,ESRRB,43,ENSG00000119715,2103
Q5408696,EIF4E,48,ENSG00000151247,1977
Q5424280,FAAH,31,ENSG00000117480,2166
Q5425472,FGF16,22,ENSG00000196468,8823
Q5425475,FGF21,25,ENSG00000105550,26291
Q5426911,FOSL2,34,ENSG00000075426,2355
Q5427450,FZD9,25,ENSG00000188763,8326
Q5446444,FGA,32,ENSG00000171560,2243
Q5446445,FGB,35,ENSG00000171564,2244
Q5446452,FAP,45,ENSG00000078098,2191
Q5446458,FGFR4,45,ENSG00000160867,2264
Q5457450,FEN1,33,ENSG00000168496,2237
Q5458077,FMO1,37,ENSG00000010932,2326
Q5469818,FOXL2,25,ENSG00000183770,668
Q5469819,FOXC1,27,ENSG00000054598,2296
Q14902024,CTSS,34,ENSG00000163131,1520
Q14902030,CTSO,25,ENSG00000256043,1519
Q14902030,CTSO,25,ENSG00000263238,1519
Q14902045,CTSK,29,ENSG00000143387,1513
Q14902080,CTSC,38,ENSG00000109861,1075
Q14907137,FADD,26,ENSG00000168040,8772
Q14907167,IL15,36,ENSG00000164136,3600
Q14907187,IL18,35,ENSG00000150782,3606
Q14907199,IL16,45,ENSG00000172349,3603
Q14907210,IL21,27,ENSG00000138684,59067
Q14907226,IL31,21,ENSG00000204671,386653
Q14907239,IFNL1,22,ENSG00000182393,282618
Q14907245,IL26,22,ENSG00000111536,55801
Q14907251,IL25,26,ENSG00000166090,64806
Q14907256,SDHA,58,ENSG00000073578,6389
Q14907265,IL24,36,ENSG00000162892,11009
Q14907275,IL22,26,ENSG00000127318,50616
Q14907292,BBC3,34,ENSG00000105327,27113
Q14907296,PMAIP1,26,ENSG00000141682,5366
Q14907298,AIRE,31,ENSG00000160224,326
Q14907310,KISS1,26,ENSG00000170498,3814
Q14907337,SYK,39,ENSG00000165025,6850
Q14907362,SCGB1A1,26,ENSG00000149021,7356
Q14907373,CYP7A1,25,ENSG00000167910,1581
Q14907382,NCS1,33,ENSG00000107130,23413
Q14907393,NPHS1,30,ENSG00000161270,4868
Q14907402,MDK,47,ENSG00000110492,4192
Q14907414,IDO1,32,ENSG00000131203,3620
Q14907436,TLR2,45,ENSG00000137462,7097
Q14907451,TMPO,48,ENSG00000120802,7112
Q14907462,SLC26A4,36,ENSG00000091137,5172
Q14907479,ADCYAP1,31,ENSG00000141433,116
Q17853705,KLF9,26,ENSG00000119138,687
Q17853730,KLF5,30,ENSG00000102554,688
Q17853784,BTF3,35,ENSG00000145741,689
Q17853813,BTF3P11,11,,690
Q17853822,BTF3P1,9,,693
Q17853828,BTG1,29,ENSG00000133639,694
Q17853872,BTS1,7,,698
Q17853888,BUB1,44,ENSG00000169679,699
Q17853922,BVR1,7,,700
Q17853927,BUB1B,36,ENSG00000156970,701
Q14908233,ANXA2,75,ENSG00000182718,302
Q14908239,ANXA5,39,ENSG00000164111,308
Q14908245,SFTPB,39,ENSG00000168878,6439
Q14908260,KAT2B,38,ENSG00000114166,8850
Q14908739,CLOCK,45,ENSG00000134852,9575
Q14909011,DLD,43,ENSG00000091140,1738
Q14909191,CHGA,42,ENSG00000100604,1113
Q14909191,CHGA,42,ENSG00000276781,1113
Q14909398,POR,53,ENSG00000127948,5447
Q14909766,MC2R,28,ENSG00000185231,4158
Q14909910,GLP1R,34,ENSG00000112164,2740
Q14910010,APOA1,38,ENSG00000118137,335
Q14910515,APOC3,72,ENSG00000110245,345
Q14910792,APOC4,35,ENSG00000267467,346
Q14911006,APOH,59,ENSG00000091583,350
Q14911253,CACNA1E,44,ENSG00000198216,777
Q14911279,CACNA1B,34,ENSG00000148408,774
Q14905432,ARSA,41,ENSG00000100299,410
Q14902252,PCNA,33,ENSG00000132646,5111
Q14902288,HPCA,32,ENSG00000121905,3208
Q14902310,ESR1,66,ENSG00000091831,2099
Q14902453,CDKN1A,35,ENSG00000124762,1026
Q14902475,GAA,41,ENSG00000171298,2548
Q14902484,PCSK2,33,ENSG00000125851,5126
Q14902502,AQP4,47,ENSG00000171885,361
Q14902527,AQP2,29,ENSG00000167580,359
Q14902794,CTNNB1,97,ENSG00000168036,1499
Q14903102,BMP7,35,ENSG00000101144,655
Q14903153,BMP2,32,ENSG00000125845,650
Q14903397,BMP4,25,ENSG00000125378,652
Q14903573,RAF1,30,ENSG00000132155,5894
Q14903582,BMP15,25,ENSG00000130385,9210
Q14903592,BMP10,25,ENSG00000163217,27302
Q14903601,BMP8B,33,ENSG00000116985,656
Q14903608,TGM2,39,ENSG00000198959,7052
Q14903748,BMP6,28,ENSG00000153162,654
Q14903759,BMP5,31,ENSG00000112175,653
Q14903763,BMP1,54,ENSG00000168487,649
Q14903767,BMP3,26,ENSG00000152785,651
Q14903775,BMP8A,29,ENSG00000183682,353500
Q14903784,SMAD1,27,ENSG00000170365,4086
