item,itemLabel,statements,ensg_wdt,entrez
Q18312363,Pbwg5,7,,100034884
Q18312364,Pbwg9,7,,100034885
Q18312365,Skmw1,6,,100034886
Q18312366,Skmw5,6,,100034887
Q18312367,Thcr,6,,100034888
Q18312368,Vmbic4,7,,100034889
Q18312369,Vmbic7,7,,100034890
Q18312370,Vmbic8,6,,100034891
Q18312371,Lvic5,6,,100034892
Q18312372,Hdl6,6,,100034893
Q18312373,Alcw6,7,,100034894
Q18312374,Alcw7,6,,100034895
Q18312375,Moo3,6,,100034896
Q18312376,Cia5c,6,,100034897
Q18312377,Imgt1,7,,100034898
Q18312378,Tchol1,7,,100034899
Q20957566,Nidd6k,6,,100034900
Q18312379,Lp1,7,,100034901
Q18312380,Trmq3,7,,100034902
Q18312381,Cocia12,7,,100034903
Q18312382,Eae34,6,,100034904
Q18312383,Spha1,6,,100034905
Q18312384,Spha3,6,,100034906
Q18312385,Elsgp3,7,,100034907
Q18312386,Hdlq23,7,,100034908
Q18312387,Hdlq27,7,,100034909
Q18312388,Hdlq28,7,,100034910
Q18312389,Hdlq29,7,,100034911
Q18312390,Hdlq32,7,,100034912
Q18312391,Trmq4,7,,100034913
Q18312392,Cia30,6,,100034914
Q18312393,Cia31,6,,100034915
Q18312394,Orgwq9,7,,100034916
Q18312395,Lmblgq1,7,,100034917
Q18312396,Lmblgq4,7,,100034918
Q18312397,Lmblgq6,7,,100034919
Q18312398,Kidq1,6,,100034920
Q18312399,Hrtq3,6,,100034921
Q18312400,Lvrq4,6,,100034922
Q18312401,Tesq3,6,,100034923
Q18312402,Scfq3,6,,100034924
Q18312403,Lvrq10,6,,100034925
Q18312404,Scfq2,6,,100034926
Q18312405,Epfpq4,6,,100034927
Q18312406,Scfq4,6,,100034928
Q18312407,Fpdty,7,,100034929
Q18312408,Char7,7,,100034930
Q18312409,Tesw1,7,,100034931
Q18312410,Ethm1,6,,100034932
Q18312411,Ethm4,7,,100034933
Q18312412,Vtbt9,7,,100034934
Q18312413,Vtbt11,7,,100034935
Q18312414,Vtbt15,7,,100034936
Q18312415,Vtbt16,6,,100034937
Q18312416,Vtbt19,7,,100034938
Q18312417,Ncilt,6,,100034939
Q18312418,Pfat4,7,,100034940
Q18312419,Gluchos3,6,,100034941
Q18312420,Lppl1,6,,100034942
Q18312421,Phl2,6,,100034943
Q18312422,Angfq4,7,,100034944
Q18312423,Alprf,7,,100034945
Q18312424,Igf1sl2,7,,100034946
Q18312425,Igf1sl4,7,,100034947
Q18312426,Si5lq4,7,,100034948
Q18312427,Si5lq6,7,,100034949
Q18312428,Arti2,7,,100034950
Q18312429,Thyct1,7,,100034951
Q18312430,Heal13,6,,100034952
Q18312431,Bsbob5,7,,100034953
Q18312432,Hipp3,7,,100034954
Q18312433,Plyid,6,,100034955
Q18312434,Bmca,7,,100034956
Q18312435,Apsic4,6,,100034957
Q18312436,Alcrsp3,6,,100034958
Q18312437,Alcrsp6,7,,100034959
Q18312438,Brmth2,6,,100034960
Q18312439,Brmth5,7,,100034961
Q18312440,Brmth8,6,,100034962
Q18312441,Brmth11,6,,100034963
Q18312442,Mdmsc4,6,,100034964
Q18312443,Bmd21,7,,100034965
Q18312444,Mp53d1,7,,100034966
Q18312445,Mp53d3,7,,100034967
Q18312446,Tgct3,6,,100034968
Q18312447,Tilss1,7,,100034969
Q18312448,Hyplip2,6,,100034970
Q18312449,Bpq10,6,,100034971
Q18312450,Bpq11,6,,100034972
Q18312451,Lskcn2,6,,100034973
Q18312452,Mastr,6,,100034974
Q18312453,Bwnd2wk2,6,,100034975
Q18312454,Depmq1,7,,100034977
Q18312455,Bwnd2wk5,6,,100034979
Q18312456,Bwnd2wk7,6,,100034983
Q18312457,Vgot2,6,,100034984
Q18312458,Skmw6,6,,100034985
Q18312459,Skmw8,6,,100034986
Q18312460,Skmw10,6,,100034987
Q18312461,Ssta5,7,,100034988
Q18312462,Grwtj2,6,,100034989
Q18312463,Grwtj3,6,,100034990
Q18312464,Lprq1,7,,100034991
Q18312465,Lprq2,7,,100034992
Q18312466,Bmch4,7,,100034993
Q18312467,Bmch5,7,,100034994
Q18312468,Bmch7,7,,100034995
Q18312469,Bdmsq,6,,100034996
Q18312470,Lprq4,6,,100034997
Q18312471,Pltct1,6,,100034998
Q18312472,Pltct2,7,,100034999
Q18312473,Espq2,6,,100035000
Q18312474,Estoq2,6,,100035001
Q18312475,Dfq1,6,,100035002
Q18312476,Lfq1,6,,100035003
Q18312477,Lfq2,6,,100035004
Q18312478,Orq2,6,,100035005
