,Unnamed: 0,panglao,wikidata,superclass,itemLabel,item
80,77,Hepatic stellate cells,Q1997459,Q1997459,human hepatic stellate cell,Q101404946
81,78,Ionocytes,Q101062667,Q101062667,human ionocyte,Q101404947
82,79,Epithelial cells,Q15176415,Q15176415,human epithelial cell,Q101404948
83,80,Myofibroblasts,Q1467330,Q1467330,human myofibroblast,Q101404949
84,81,Pulmonary alveolar type II cells,Q3272858,Q3272858,human pulmonary alveolar type ii cell,Q101404950
85,83,Satellite cells,Q101001061,Q101001061,human satellite cell,Q101404953
86,84,Luteal cells,Q70204009,Q70204009,human luteal cell,Q101404954
87,85,Ductal cells,Q5311600,Q5311600,human ductal cell,Q101404956
88,86,Pulmonary vascular smooth muscle cells,Q101062553,Q101062553,human pulmonary vascular smooth muscle cell,Q101404955
89,87,Erythroid-like and erythroid precursor cells,Q101062502,Q101062502,human erythroid-like and erythroid precursor cell,Q101404957
90,88,Adrenergic neurons,Q71262051,Q71262051,human adrenergic neuron,Q101405030
91,89,Neuroblasts,Q2927095,Q2927095,human neuroblast,Q101405031
92,90,Anterior pituitary gland cells,Q101003254,Q101003254,human anterior pituitary gland cell,Q101405034
93,91,Plasmacytoid dendritic cells,Q101062485,Q101062485,human plasmacytoid dendritic cell,Q101405033
94,92,Nuocytes,Q7069936,Q7069936,human nuocyte,Q101405037
95,93,Thymocytes,Q7799635,Q7799635,human thymocyte,Q101405038
96,94,Paneth cells,Q2004084,Q2004084,human paneth cell,Q101405040
97,187,Paneth Cells,Q2004084,Q2004084,human paneth cell,Q101405040
98,95,Interneurons,Q1500732,Q1500732,human interneuron,Q101405035
99,96,Monocytes,Q107244,Q107244,human monocyte,Q101405036
100,97,Podocytes,Q138912,Q138912,human podocyte,Q101405039
101,98,Neural stem/precursor cells,Q2944097,Q2944097,human neural stem/precursor cell,Q101405041
102,99,Cholangiocytes,Q5104283,Q5104283,human cholangiocyte,Q101405042
103,100,Crypt cells,Q101062678,Q101062678,human crypt cell,Q101405043
104,101,Osteoblasts,Q917177,Q917177,human osteoblast,Q101405044
105,102,Pericytes,Q500446,Q500446,human pericyte,Q101405045
106,103,Erythroblasts,Q66590166,Q66590166,human erythroblast,Q101405046
107,104,Olfactory epithelial cells,Q66563539,Q66563539,human olfactory epithelial cell,Q101405047
108,105,Eosinophils,Q107238,Q107238,human eosinophil,Q101405048
109,106,Keratinocytes,Q1473931,Q1473931,human keratinocyte,Q101405049
110,107,Taste receptor cells,Q66563575,Q66563575,human taste receptor cell,Q101405050
111,108,Cholinergic neurons,Q12167532,Q12167532,human cholinergic neuron,Q101405051
112,109,Hematopoietic stem cells,Q514525,Q514525,human hematopoietic stem cell,Q101405052
113,110,Spermatozoa,Q74560,Q74560,human spermatozoa,Q101405053
114,111,Goblet cells,Q813622,Q813622,human goblet cell,Q101405054
115,112,Pluripotent stem cells,Q15952110,Q15952110,human pluripotent stem cell,Q101405055
116,114,Gamma (PP) cells,Q1968774,Q1968774,human gamma (pp) cell,Q101405057
117,115,Peritubular myoid cells,Q48997538,Q48997538,human peritubular myoid cell,Q101405058
118,116,B cells memory,Q1195394,Q1195394,human b cell memory,Q101405059
119,117,Pulmonary alveolar type I cells,Q3296912,Q3296912,human pulmonary alveolar type i cell,Q101405061
120,118,Endothelial cells (blood brain barrier),Q101062538,Q101062538,human endothelial cell (blood brain barrier),Q101405062
121,119,Pancreatic progenitor cells,Q25325366,Q25325366,human pancreatic progenitor cell,Q101405063
122,121,Alveolar macrophages,Q448687,Q448687,human alveolar macrophages,Q101405064
123,122,Airway epithelial cells,Q101062683,Q101062683,human airway epithelial cell,Q101405065
124,123,Ciliated cells,Q101062671,Q101062671,human ciliated cell,Q101405066
125,124,Immature neurons,Q101003994,Q101003994,human immature neuron,Q101405067
126,183,Immature neurons ,Q101003994,Q101003994,human immature neuron,Q101405067
127,125,Kupffer cells,Q513486,Q513486,human kupffer cell,Q101405068
128,126,Sebocytes,Q101062695,Q101062695,human sebocyte,Q101405069
129,127,Osteoclast precursor cells,Q101062534,Q101062534,human osteoclast precursor cell,Q101405070
130,128,T memory cells,Q2304808,Q2304808,human t memory cell,Q101405071
131,129,Enterocytes,Q1340349,Q1340349,human enterocyte,Q101405073
132,130,Tanycytes,Q1419042,Q1419042,human tanycyte,Q101405074
133,131,T cells,Q193529,Q193529,human t cell,Q101405075
134,132,Cardiac stem and precursor cells,Q5376332,Q5376332,human cardiac stem and precursor cell,Q101405076
135,133,Cardiomyocytes,Q1047227,Q1047227,human cardiomyocyte,Q101405077
